Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","Macarthur Drive, Northlake, IL 60164, USA","41.9248612824083,-87.8990543374395","747 North Roy Avenue, Northlake, IL 60164, USA","0.979","0.516","0.347"
"17 E Monroe St Chicago, IL 60603","17 East Monroe Street, Chicago, IL 60603, USA","41.8806123165079,-87.6268817866242","17 East Monroe Street, Chicago, IL 60603, USA","0.339","0.39","0.386"
"1000 Central St Chicago, IL 60201","Immaculate Conception St. Joseph School, 1431 N North Park Avenue, Chicago, IL 60610, USA","41.9082535688171,-87.6360173403725","1431 N North Park Avenue, Chicago, IL 60610, USA","0.481","0.451","0.433"
"2744 1/2 N. Hampden Ct, Chicago, 60614","","0.0,0.0","","0.148","0.164","0.537"
"1407 1/2 N Wells St, Chicago, 60610","","0.0,0.0","","0.153","0.152","0.446"
"3819 N. Ashland, Chicago, IL 60613","3819 North Ashland Avenue, Chicago, IL 60613, USA","41.9513156208327,-87.6685576515105","3819 North Ashland Avenue, Chicago, IL 60613, USA","0.523","0.553","0.458"
"2320 N Damen, Chicago, ILLINOIS IL","2320 North Damen Avenue, Chicago, IL 60647, USA","41.9235848880225,-87.6780421092027","2320 North Damen Avenue, Chicago, IL 60647, USA","0.388","0.361","0.564"
"1049 W Oakdale Ave Chicago IL 60657","1049 West Oakdale Avenue, Chicago, IL 60657, USA","41.9350639290745,-87.6558816490386","1049 West Oakdale Avenue, Chicago, IL 60657, USA","0.391","0.368","0.365"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","","0.0,0.0","","0.509","0.661","0.324"
"852 W Oakdale Chicago IL 60614","852 West Oakdale Avenue, Chicago, IL 60657, USA","41.9356775976229,-87.651185140741","852 West Oakdale Avenue, Chicago, IL 60657, USA","0.351","0.42","0.49"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","","0.0,0.0","","0.412","0.38","0.347"
"110 N Wacker Drive Chicago IL 60601","110 East Upper Wacker Drive, Chicago, IL 60601, USA","41.8883033292587,-87.6242488235723","112 East Upper Wacker Drive, Chicago, IL 60601, USA","0.472","0.402","0.414"
"1850 W Fulton Chicago 60612","1850 West Fulton Street, Chicago, IL 60612, USA","41.8870294432761,-87.674034156192","1850 West Fulton Street, Chicago, IL 60612, USA","0.478","0.356","0.383"
"71 s wacker Chicago IL 60606","71 South Wacker Drive, Chicago, IL 60606, USA","41.8809578716852,-87.6363518308137","71 South Wacker Drive, Chicago, IL 60606, USA","0.384","0.375","0.418"
"2550 N. Lakeview Chicago IL 60614","2550 North Lakeview Avenue, Chicago, IL 60614, USA","41.9291596236861,-87.6398586619114","401-481 West Deming Place, Chicago, IL 60614, USA","0.511","0.525","0.401"
"1429 N. Wells St, Chicago IL 60610","1429 North Wells Street, Chicago, IL 60610, USA","41.908540795798,-87.634240522353","1429 North Wells Street, Chicago, IL 60610, USA","0.348","0.361","0.416"
"5605 N.Wayne Chicago IL 60660","5605 North Wayne Avenue, Chicago, IL 60660, USA","41.9838393622848,-87.6633515275613","5605 North Wayne Avenue, Chicago, IL 60660, USA","0.387","0.37","0.52"
"401 north wabash, Chicago IL 60611","401 North Wabash Avenue, Chicago, IL 60611, USA","41.8888211612025,-87.6266576895271","401 North Wabash Avenue, Chicago, IL 60611, USA","0.377","0.354","0.387"
"111 S Wacker Chicago IL 60603","111 South Wacker Drive, Chicago, IL 60606, USA","41.8801644827288,-87.6364831695845","111 South Wacker Drive, Chicago, IL 60606, USA","0.525","0.521","0.622"
"903 W. Addison Chicago IL 60657","903 West Addison Street, Chicago, IL 60613, USA","41.9470387220586,-87.6521134239231","903 West Addison Street, Chicago, IL 60613, USA","0.402","0.364","0.426"
"990 N. Lake Shore Dr. Chicago IL 60077","990 North Lake Shore Drive, Chicago, IL 60611, USA","41.9003287232274,-87.6199493880125","990 North Lake Shore Drive, Chicago, IL 60611, USA","0.389","0.532","0.397"
"2550 N. Lakeview Chicago IL 60614","2550 North Lakeview Avenue, Chicago, IL 60614, USA","41.9291596167392,-87.6398586276557","401-481 West Deming Place, Chicago, IL 60614, USA","0.36","0.382","0.399"
"1420 w hood Chicago IL 60660","1420 West Hood Avenue, Chicago, IL 60660, USA","41.993818805298,-87.666175960633","1420 West Hood Avenue, Chicago, IL 60660, USA","0.383","0.368","0.384"
