Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","3000 Mac Arthur, Northbrook, IL, 60062","42.148226,-87.853267","null","0.695","0.161","0.001"
"17 E Monroe St Chicago, IL 60603","17 Monroe, Chicago, IL, 60603","41.880763,-87.627226","null","0.14","0.142","0.0"
"1000 Central St Chicago, IL 60201","1000 Central, Evanston, IL, 60201","42.064232,-87.685478","null","0.143","0.182","0.0"
"2744 1/2 N. Hampden Ct, Chicago, 60614","","0.0,0.0","null","0.139","0.156","0.0"
"1407 1/2 N Wells St, Chicago, 60610","","0.0,0.0","null","0.159","0.162","0.0"
"3819 N. Ashland, Chicago, IL 60613","3819 Ashland, Chicago, IL, 60613","41.951081,-87.669173","null","0.142","0.128","0.0"
"2320 N Damen, Chicago, ILLINOIS IL","","0.0,0.0","null","0.121","0.126","0.0"
"1049 W Oakdale Ave Chicago IL 60657","1049 Oakdale, Chicago, IL, 60657","41.935432,-87.65533","null","0.136","0.125","0.0"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","","0.0,0.0","null","0.129","0.13","0.0"
"852 W Oakdale Chicago IL 60614","852 Oakdale, Chicago, IL, 60657","41.935479,-87.650481","null","0.133","0.141","0.0"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","","0.0,0.0","null","0.126","0.137","0.0"
"110 N Wacker Drive Chicago IL 60601","110 Wacker, Chicago, IL, 60601","41.887042,-87.631434","null","0.132","0.128","0.0"
"1850 W Fulton Chicago 60612","","0.0,0.0","null","0.128","0.136","0.0"
"71 s wacker Chicago IL 60606","71 Wacker, Chicago, IL, 60606","41.880897,-87.636852","null","0.131","0.135","0.0"
"2550 N. Lakeview Chicago IL 60614","2550 Lakeview, Chicago, IL, 60614","41.929188,-87.639395","null","0.128","0.13","0.0"
"1429 N. Wells St, Chicago IL 60610","1429 Wells, Chicago, IL, 60610","41.908232,-87.634653","null","0.135","0.126","0.0"
"5605 N.Wayne Chicago IL 60660","5605 Wayne, Chicago, IL, 60660","41.983909,-87.663856","null","0.126","0.129","0.0"
"401 north wabash, Chicago IL 60611","401 Wabash, Chicago, IL, 60611","41.889333,-87.626741","null","0.127","0.125","0.0"
"111 S Wacker Chicago IL 60603","111 Wacker, Chicago, IL, 60606","41.88051,-87.636842","null","0.145","0.137","0.0"
"903 W. Addison Chicago IL 60657","903 Addison, Chicago, IL, 60613","41.947427,-87.652146","null","0.154","0.152","0.0"
"990 N. Lake Shore Dr. Chicago IL 60077","","0.0,0.0","null","0.131","0.123","0.0"
"2550 N. Lakeview Chicago IL 60614","2550 Lakeview, Chicago, IL, 60614","41.929188,-87.639395","null","0.145","0.14","0.0"
"1420 w hood Chicago IL 60660","1420 Hood, Chicago, IL, 60660","41.993831,-87.666066","null","0.125","0.124","0.0"
