Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","3000 MacArthur Blvd, Chicago, IL, 60062","41.10143195692716,-87.81148468170439","null","4.532","3.384","0.353"
"17 E Monroe St Chicago, IL 60603","17 Monroe St, Chicago, IL, 60603","41.88021278494599,-87.69136359977959","null","0.123","1.428","0.437"
"1000 Central St Chicago, IL 60201","1000 Central St, Chicago, IL, 60201","38.55872694012991,-90.09962326747097","null","1.463","1.328","0.51"
"2744 1/2 N. Hampden Ct, Chicago, 60614","2744 . Hampden Ct, Chicago, 60614","39.39047845,-74.51782915","null","0.122","0.72","2.684"
"1407 1/2 N Wells St, Chicago, 60610","1407 St Wells, Chicago, 60610","41.8550992,-87.6328347","null","0.112","1.41","1.492"
"3819 N. Ashland, Chicago, IL 60613","3819 . Ashland Chicago, IL, 60613","41.88882035,-87.66706160000001","null","0.119","0.502","0.509"
"2320 N Damen, Chicago, ILLINOIS IL","2320 Damen Chicago, ILLINOIS, ","41.884818792210645,-87.67673023467466","null","0.117","0.541","0.3"
"1049 W Oakdale Ave Chicago IL 60657","1049 Oakdale Ave, Chicago, IL, 60657","29.0408399999018,-81.31210301584794","null","0.124","0.782","1.346"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","201 . Delaware Pl., -- Raffaello Hotel, ","41.89922165671844,-87.62360268019543","null","0.132","0.616","0.763"
"852 W Oakdale Chicago IL 60614","852 Oakdale Chicago IL 60614 ","41.51352,-87.63878055","null","0.127","0.464","3.05"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","W Hotel 644 North Lake Shore Drive, Chicago, IL, ","41.90748819479376,-87.62569610810509","null","0.221","1.174","0.548"
"110 N Wacker Drive Chicago IL 60601","110 Wacker Drive, Chicago, IL, 60601","41.88781681884139,-87.61886834375332","null","0.125","0.781","0.279"
"1850 W Fulton Chicago 60612","1850 Fulton Chicago 60612 ","41.88652719184578,-87.6964164648454","null","0.118","0.455","0.472"
"71 s wacker Chicago IL 60606","71 wacker Chicago IL 60606 ","41.88683079034936,-87.62487689263918","null","0.114","0.471","0.287"
"2550 N. Lakeview Chicago IL 60614","2550 . Lakeview Chicago, IL, 60614","40.2451607413173,-111.70351325165119","null","0.122","0.519","4.204"
"1429 N. Wells St, Chicago IL 60610","1429 . Wells St, Chicago, IL, 60610","41.8550992,-87.6328347","null","0.123","1.409","3.286"
"5605 N.Wayne Chicago IL 60660","5605 .Wayne Chicago IL 60660 ","41.51352,-87.63878055","null","0.117","0.311","0.282"
"401 north wabash, Chicago IL 60611","401 wabash Chicago, IL, 60611","41.886751149999995,-87.62630185","null","0.112","0.662","0.285"
"111 S Wacker Chicago IL 60603","111 Wacker Chicago IL 60603 ","41.88683079034936,-87.62487689263918","null","0.129","0.468","0.284"
"903 W. Addison Chicago IL 60657","903 . Addison Chicago IL 60657 ","42.02813367969531,-87.95875108526576","null","0.117","0.473","6.738"
"990 N. Lake Shore Dr. Chicago IL 60077","990 . Lake Shore Dr., Chicago, IL, 60077","37.59490700526648,-88.92471795320496","null","0.12","1.122","1.35"
"2550 N. Lakeview Chicago IL 60614","2550 . Lakeview Chicago, IL, 60614","40.2451607413173,-111.70351325165119","null","0.125","0.239","0.285"
"1420 w hood Chicago IL 60660","1420 hood Chicago IL 60660 ","38.15035884760993,-93.29559267881537","null","0.121","0.485","0.99"
