Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","null","42.1483,-87.85519443669672","null","0.0","1.134","0.0"
"17 E Monroe St Chicago, IL 60603","null","41.8806,-87.62715421322054","null","0.0","0.079","0.0"
"1000 Central St Chicago, IL 60201","null","42.064,-87.68516273220037","null","0.0","0.216","0.0"
"2744 1/2 N. Hampden Ct, Chicago, 60614","null","41.83,-87.68","null","0.0","0.382","0.0"
"1407 1/2 N Wells St, Chicago, 60610","null","41.83,-87.68","null","0.0","0.206","0.0"
"3819 N. Ashland, Chicago, IL 60613","null","41.83,-87.68","null","0.0","0.206","0.0"
"2320 N Damen, Chicago, ILLINOIS IL","null","40.7605,-88.7652","null","0.0","0.128","0.0"
"1049 W Oakdale Ave Chicago IL 60657","null","41.9351,-87.65515","null","0.0","0.083","0.0"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","null","41.899,-87.6219","null","0.0","0.204","0.0"
"852 W Oakdale Chicago IL 60614","null","41.83,-87.68","null","0.0","0.096","0.0"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","null","41.901505934932466,-87.62420593493246","null","0.0","0.207","0.0"
"110 N Wacker Drive Chicago IL 60601","null","41.83,-87.68","null","0.0","0.072","0.0"
"1850 W Fulton Chicago 60612","null","41.83,-87.68","null","0.0","0.199","0.0"
"71 s wacker Chicago IL 60606","null","41.83,-87.68","null","0.0","0.158","0.0"
"2550 N. Lakeview Chicago IL 60614","null","41.83,-87.68","null","0.0","0.201","0.0"
"1429 N. Wells St, Chicago IL 60610","null","41.83,-87.68","null","0.0","0.206","0.0"
"5605 N.Wayne Chicago IL 60660","null","41.83,-87.68","null","0.0","0.071","0.0"
"401 north wabash, Chicago IL 60611","null","41.83,-87.68","null","0.0","0.075","0.0"
"111 S Wacker Chicago IL 60603","null","41.83,-87.68","null","0.0","0.203","0.0"
"903 W. Addison Chicago IL 60657","null","41.83,-87.68","null","0.0","0.203","0.0"
"990 N. Lake Shore Dr. Chicago IL 60077","null","41.8844,-87.6137","null","0.0","0.077","0.0"
"2550 N. Lakeview Chicago IL 60614","null","41.83,-87.68","null","0.0","0.072","0.0"
"1420 w hood Chicago IL 60660","null","41.83,-87.68","null","0.0","0.072","0.0"
