Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","3000 Macarthur Blvd, Northbrook, IL 60062-2005","42.148302,-87.854783","3005 MacArthur Blvd, Northbrook, IL 60062-1901","1.026","1.034","0.094"
"17 E Monroe St Chicago, IL 60603","17 E Monroe St, Chicago, IL 60603-5601","41.880772,-87.626934","31 E Monroe St, Chicago, IL 60603-5642","0.273","0.102","0.09"
"1000 Central St Chicago, IL 60201","1000 Central St, Evanston, IL 60201-1702","42.064169,-87.68523","1017 Central St, Evanston, IL 60201-1701","0.257","0.266","0.097"
"2744 1/2 N. Hampden Ct, Chicago, 60614","2744 1/2 N Hampden Ct, Chicago, IL 60614-1612","41.93189,-87.642197","2732 N Hampden Ct, Chicago, IL 60614-1612","0.134","0.194","0.1"
"1407 1/2 N Wells St, Chicago, 60610","1407 1/2 N Wells St, Chicago, IL 60610-1305","41.907764,-87.634607","1407 N Wells St, Chicago, IL 60610-1305","0.107","0.105","0.119"
"3819 N. Ashland, Chicago, IL 60613","3819 N Ashland Ave, Chicago, IL 60613-2707","41.951096,-87.668867","3807 N Ashland Ave, Chicago, IL 60613-2707","0.11","0.096","0.105"
"2320 N Damen, Chicago, ILLINOIS IL",", Chicago, Oriental Mindoro ","13.396,121.0984","Baco - Palatubig, Lumang, Oriental Mindoro ","0.354","0.279","0.317"
"1049 W Oakdale Ave Chicago IL 60657","1049 W Oakdale Ave, Chicago, IL 60657-4305","41.935321,-87.655863","1053 W Oakdale Ave, Chicago, IL 60657-4317","0.118","0.126","0.111"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","201 E Delaware Pl, -- RAFFAELLO HOTEL, Chicago, IL 60611-1713","41.899256,-87.621698","201 E Delaware Pl, Chicago, IL 60611-1713","0.156","0.151","0.078"
"852 W Oakdale Chicago IL 60614","852 W Oakdale Ave, Chicago, IL 60657-5122","41.935435,-87.651116","851 W Oakdale Ave, Chicago, IL 60657-5121","0.212","0.207","0.118"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011",", ,  ","39.390897,-99.066067","2986 M Ter, Woodston, KS 67675-9060","3.594","0.574","0.1"
"110 N Wacker Drive Chicago IL 60601","110 N Wacker Dr, Chicago, IL 60606-1511","41.883362,-87.637066","N Wacker Dr, Chicago, IL 60606","0.22","0.233","0.084"
"1850 W Fulton Chicago 60612","1850 W Fulton St, Chicago, IL 60612-2512","41.886824,-87.673143","1838 W Fulton St, Chicago, IL 60612-2512","0.103","0.095","0.096"
"71 s wacker Chicago IL 60606","71 S Wacker Dr, Chicago, IL 60606","41.880885,-87.636837","71 S Wacker Dr, Chicago, IL 60606-4600","0.115","0.112","0.088"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL 60614-2255","41.929151,-87.639243","2550 N Lakeview Ave, Chicago, IL 60614-1099","0.106","0.129","3.082"
"1429 N. Wells St, Chicago IL 60610","1429 N Wells St, Chicago, IL 60610-1305","41.90856,-87.634632","1429 N Wells St, Chicago, IL 60610-1305","0.118","0.103","0.108"
"5605 N.Wayne Chicago IL 60660","5605 N Wayne Ave, Chicago, IL 60660-4203","41.983645,-87.663559","5601 N Wayne Ave, Chicago, IL 60660-4203","0.102","0.124","0.089"
"401 north wabash, Chicago IL 60611","401 N Wabash Ave, Chicago, IL 60611-3422","41.889319,-87.626674","N Wabash Ave, Chicago, IL 60611","0.118","0.105","0.087"
"111 S Wacker Chicago IL 60603","111 S Wacker Dr, Chicago, IL 60606-4321","41.88059,-87.636842","111 S Wacker Dr, Chicago, IL 60606-4300","0.204","0.219","0.117"
"903 W. Addison Chicago IL 60657","903 W Addison St, Chicago, IL 60613-4310","41.9473,-87.652014","901 W Addison St, Chicago, IL 60613-4310","0.222","0.211","0.094"
"990 N. Lake Shore Dr. Chicago IL 60077","990 N Lake Shore Dr, Chicago, IL 60611-1309","41.900836,-87.61975","999 N Lake Shore Dr, Chicago, IL 60611-1305","3.278","0.26","0.087"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL 60614-2255","41.929151,-87.639243","2550 N Lakeview Ave, Chicago, IL 60614-1099","0.15","0.13","0.093"
"1420 w hood Chicago IL 60660","1420 W Hood Ave, Chicago, IL 60660-1806","41.993543,-87.665777","1409 W Hood Ave, Chicago, IL 60660-1805","0.361","0.11","0.097"
