Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","Northbrook, IL, United States, 2999, Macarthur Blvd","42.148285, -87.853149","Mac Arthur Boulevard, Northbrook, Illinois 60062","1.932","0.559","0.644"
"17 E Monroe St Chicago, IL 60603","Chicago, IL, United States, E Monroe St, 17","41.880698, -87.627207","39 South State Street, Chicago, Illinois 60603","2.056","1.257","0.791"
"1000 Central St Chicago, IL 60201","Evanston, IL, United States, 1000, Central St","42.064114, -87.685194","1000 Central Street, Evanston, Illinois 60201","3.017","0.428","0.557"
"2744 1/2 N. Hampden Ct, Chicago, 60614","North Hampden Court, Chicago, Illinois 60614","41.9306619, -87.6414607","454 West Wrightwood Avenue, Chicago, Illinois ","0.705","0.459","1.169"
"1407 1/2 N Wells St, Chicago, 60610","Illinois ","41.9033, -87.6336","1140 North La Salle Boulevard, Chicago, Illinois ","1.251","0.977","0.469"
"3819 N. Ashland, Chicago, IL 60613","Chicago, IL, United States, 3819, N Ashland Ave","41.950983, -87.668888","3801-3811 North Ashland Avenue, Chicago, Illinois ","1.545","1.683","0.489"
"2320 N Damen, Chicago, ILLINOIS IL","Illinois ","41.85003, -87.65005","977 West Cermak Road, Chicago, Illinois 60616","1.132","1.007","0.505"
"1049 W Oakdale Ave Chicago IL 60657","West Oakdale Avenue, Chicago, Illinois 60657","41.9351737, -87.6660798","1452-1456 West Oakdale Avenue, Chicago, Illinois ","1.464","0.536","0.504"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","Chicago, IL, United States, E Delaware Pl, 201","41.899243, -87.62187","201 East Delaware Place, Chicago, Illinois 60611","1.56","1.103","0.48"
"852 W Oakdale Chicago IL 60614","Chicago, IL, United States, 852, W Oakdale Ave","41.935503, -87.650329","830 West Oakdale Avenue, Chicago, Illinois ","1.234","0.617","0.514"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","","0.0, 0.0","","1.772","1.027","0.7"
"110 N Wacker Drive Chicago IL 60601","Chicago, IL, United States, 110, E Wacker Dr","41.888378, -87.624237","East Lower Wacker Drive, Chicago, Illinois 60616","1.555","1.051","0.564"
"1850 W Fulton Chicago 60612","Illinois ","41.8805, -87.6873","2421 West Madison Street, Chicago, Illinois ","0.863","0.789","0.597"
"71 s wacker Chicago IL 60606","Chicago, IL, United States, 71, S Wacker Dr","41.880983, -87.636818","Lower Wacker Drive, Chicago, Illinois 60616","0.788","0.579","0.47"
"2550 N. Lakeview Chicago IL 60614","Chicago, IL, United States, 2550, N Lakeview Ave","41.92909, -87.639314","2520 North Lakeview Avenue, Chicago, Illinois ","1.317","0.927","0.923"
"1429 N. Wells St, Chicago IL 60610","Chicago, IL, United States, 1429, N Wells St","41.908101, -87.634541","1411 North Wells Street, Chicago, Illinois ","0.985","0.404","0.471"
"5605 N.Wayne Chicago IL 60660","Chicago, IL, United States","41.99111, -87.663076","1304 West Elmdale Avenue, Chicago, Illinois ","1.721","1.604","0.455"
"401 north wabash, Chicago IL 60611","Chicago, IL, United States, N Wabash Ave, 401","41.889305, -87.626697","East North Water Street, Chicago, Illinois 60611","1.479","1.112","0.502"
"111 S Wacker Chicago IL 60603","111 South Wacker Drive, Chicago, Illinois 60606","41.88028555, -87.6363351260669","111 South Wacker Drive, Chicago, Illinois 60606","0.51","0.49","0.798"
"903 W. Addison Chicago IL 60657","Chicago, IL, United States, W Addison St, 903","41.947208, -87.651974","3550 North Fremont Street, Chicago, Illinois ","1.155","0.522","0.462"
"990 N. Lake Shore Dr. Chicago IL 60077","Round Lake, IL, United States, 990, N Lake Shore Dr","42.366199, -88.083536","North Lake Shore Drive, Round Lake Beach, Illinois 60073","1.915","1.296","0.463"
"2550 N. Lakeview Chicago IL 60614","Chicago, IL, United States, N Lakeview Ave, 2550","41.92909, -87.639314","2520 North Lakeview Avenue, Chicago, Illinois ","1.015","0.419","0.485"
"1420 w hood Chicago IL 60660","Chicago, IL, United States, 1420, W Hood Ave","41.993635, -87.665747","1410 West Hood Avenue, Chicago, Illinois ","0.772","0.522","0.46"
