Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","","0.0, 0.0","","1.247","0.381","0.275"
"17 E Monroe St Chicago, IL 60603","17 East Monroe Street, Chicago, Illinois, 60603","41.8802595, -87.6269366309482","17 East Monroe Street, Chicago, Illinois, 60603","0.444","0.447","0.269"
"1000 Central St Chicago, IL 60201","","0.0, 0.0","","0.712","0.658","0.304"
"2744 1/2 N. Hampden Ct, Chicago, 60614","North Hampden Court, Chicago, Illinois, 60614","41.9306619, -87.6414608","454 West Wrightwood Avenue, Chicago, Illinois, 60614","0.586","0.418","0.333"
"1407 1/2 N Wells St, Chicago, 60610","","0.0, 0.0","","2.436","2.174","0.337"
"3819 N. Ashland, Chicago, IL 60613","","0.0, 0.0","","2.841","2.312","0.297"
"2320 N Damen, Chicago, ILLINOIS IL","2320-2330 North Damen Avenue, Chicago, Illinois, 60647","41.9235912, -87.6781576674089","2320-2330 North Damen Avenue, Chicago, Illinois, 60647","2.324","1.293","0.292"
"1049 W Oakdale Ave Chicago IL 60657","1049 West Oakdale Avenue, Chicago, Illinois, 60657","41.93505335, -87.6559099090926","1049 West Oakdale Avenue, Chicago, Illinois, 60657","0.35","0.468","0.379"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","","0.0, 0.0","","0.862","0.953","0.291"
"852 W Oakdale Chicago IL 60614","852 West Oakdale Avenue, Chicago, Illinois, 60657","41.93567025, -87.651178315768","852 West Oakdale Avenue, Chicago, Illinois, 60657","0.718","0.775","0.467"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","","0.0, 0.0","","1.057","1.008","0.318"
"110 N Wacker Drive Chicago IL 60601","","0.0, 0.0","","0.978","0.818","0.313"
"1850 W Fulton Chicago 60612","","0.0, 0.0","","0.994","0.771","0.332"
"71 s wacker Chicago IL 60606","","0.0, 0.0","","0.928","0.699","0.433"
"2550 N. Lakeview Chicago IL 60614","","0.0, 0.0","","1.704","1.486","0.332"
"1429 N. Wells St, Chicago IL 60610","1429-1431 North Wells Street, Chicago, Illinois, 60614","41.9086019, -87.6339669721393","1429-1431 North Wells Street, Chicago, Illinois, 60614","0.685","0.458","0.38"
"5605 N.Wayne Chicago IL 60660","","0.0, 0.0","","2.757","2.943","0.343"
"401 north wabash, Chicago IL 60611","","0.0, 0.0","","2.133","2.293","0.36"
"111 S Wacker Chicago IL 60603","111 West Wacker Drive, Chicago, Illinois, 60606","41.88652285, -87.6314257750614","111 West Wacker Drive, Chicago, Illinois, 60606","1.161","1.091","0.433"
"903 W. Addison Chicago IL 60657","","0.0, 0.0","","0.615","0.545","0.346"
"990 N. Lake Shore Dr. Chicago IL 60077","","0.0, 0.0","","0.734","0.662","0.285"
"2550 N. Lakeview Chicago IL 60614","","0.0, 0.0","","1.202","1.319","0.309"
"1420 w hood Chicago IL 60660","","0.0, 0.0","","0.779","0.588","0.32"
