Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","3000 MacArthur Blvd, Northbrook, IL, 60062 ","42.14838, -87.85521","null","2.393","0.282","0.0"
"17 E Monroe St Chicago, IL 60603","17 E Monroe St, Chicago, IL, 60603 ","41.88068, -87.62713","null","0.278","0.283","0.0"
"1000 Central St Chicago, IL 60201","1000 N Central Ave, Chicago, IL, 60651 ","41.8985, -87.76561","null","0.272","0.275","0.0"
"2744 1/2 N. Hampden Ct, Chicago, 60614","2744 1/2 N Hampden Ct, Chicago, IL, 60614 ","41.93186, -87.64227","null","0.274","0.279","0.0"
"1407 1/2 N Wells St, Chicago, 60610","1407 1/2 N Wells St, Chicago, IL, 60610 ","41.90776, -87.63451","null","0.297","0.263","0.0"
"3819 N. Ashland, Chicago, IL 60613","3819 N Ashland Ave, Chicago, IL, 60613 ","41.95083, -87.66887","null","0.273","0.285","0.0"
"2320 N Damen, Chicago, ILLINOIS IL","","0.0, 0.0","null","0.266","0.32","0.0"
"1049 W Oakdale Ave Chicago IL 60657","1049 W Oakdale Ave, Chicago, IL, 60657 ","41.93524, -87.65527","null","0.274","0.266","0.0"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","201 E Delaware Pl, Chicago, IL, 60611 ","41.89916, -87.62084","null","0.278","0.269","0.0"
"852 W Oakdale Chicago IL 60614","852 W Oakdale Ave, Chicago, IL, 60657 ","41.93552, -87.65028","null","0.261","0.266","0.0"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","","0.0, 0.0","null","0.262","0.261","0.0"
"110 N Wacker Drive Chicago IL 60601","110 N Wacker Dr, Chicago, IL, 60606 ","41.88383, -87.6369","null","0.269","0.266","0.0"
"1850 W Fulton Chicago 60612","1850 W Fulton St, Chicago, IL, 60612 ","41.88692, -87.6731","null","0.27","0.261","0.0"
"71 s wacker Chicago IL 60606","71 S Wacker Dr, Chicago, IL, 60606 ","41.88086, -87.63664","null","0.266","0.262","0.0"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL, 60614 ","41.92909, -87.63933","null","0.264","0.263","0.0"
"1429 N. Wells St, Chicago IL 60610","1429 N Wells St, Chicago, IL, 60610 ","41.9081, -87.63452","null","0.262","0.26","0.0"
"5605 N.Wayne Chicago IL 60660","5605 N Wayne Ave, Chicago, IL, 60660 ","41.98478, -87.66385","null","0.273","0.259","0.0"
"401 north wabash, Chicago IL 60611","401 N Wabash Ave, Chicago, IL, 60611 ","41.88931, -87.62659","null","0.266","0.261","0.0"
"111 S Wacker Chicago IL 60603","111 S Wacker Dr, Chicago, IL, 60606 ","41.88049, -87.63664","null","0.261","0.275","0.0"
"903 W. Addison Chicago IL 60657","903 W Addison St, Chicago, IL, 60613 ","41.94718, -87.65229","null","0.263","0.259","0.0"
"990 N. Lake Shore Dr. Chicago IL 60077","990 N Lake Shore Dr, Chicago, IL, 60611 ","41.90038, -87.61955","null","0.275","0.269","0.0"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL, 60614 ","41.92909, -87.63933","null","0.262","0.258","0.0"
"1420 w hood Chicago IL 60660","1420 W Hood Ave, Chicago, IL, 60660 ","41.99364, -87.666","null","0.256","0.311","0.0"
